Id,SalePrice
1461,124394.18053921686
1462,158218.41960205344
1463,185542.46070511424
1464,184037.40302301946
1465,197400.83574223376
1466,183015.86203755654
1467,172591.5467550414
1468,174390.88743201364
1469,183830.10076214556
1470,116815.68081814978
1471,194841.4191539483
1472,97906.06882729473
1473,95208.38409943468
1474,153535.27435793544
1475,136492.60870480916
1476,389686.5654678361
1477,261219.41877898414
1478,314206.96604750515
1479,235803.44302591373
1480,467157.6225710108
1481,311260.2942553427
1482,208329.1426050452
1483,173175.79125663964
1484,169759.21564800286
1485,167583.06189482711
1486,207282.07130681476
1487,316882.07408246736
1488,249984.98637522286
1489,206572.83049939832
1490,194569.96996303886
1491,187998.87197619487
1492,104356.24527921167
1493,182210.4002828755
1494,288531.4644640958
1495,304328.65311080735
1496,223077.75324654413
1497,183318.28097724295
1498,152306.67255525175
1499,151802.68772491606
1500,149543.15161525985
1501,175995.77523927306
1502,148767.50041710137
1503,302623.8226900585
1504,229185.92033245994
1505,213446.68164185924
1506,185675.09054649377
1507,224592.41202551837
1508,202739.77973753252
1509,165811.92610823482
1510,149681.7255727334
1511,149649.69042895743
1512,160376.24058257518
1513,160437.8352227001
1514,180079.18596301365
1515,175794.8503685792
1516,170390.87803946805
1517,152070.5140810593
1518,132502.7587326903
1519,236317.82966305612
1520,139049.66306497407
1521,142652.38719913858
1522,167941.3349461654
1523,114198.94643590272
1524,122078.37937207926
1525,130002.14977061239
1526,130561.79780309601
1527,95629.14804369018
1528,129063.79253679786
1529,137300.85436010838
1530,170410.00632646203
1531,117671.6174558605
1532,107191.48815950137
1533,134180.01013438668
1534,121249.61899297136
1535,159600.01899148902
1536,114269.47936816771
1537,83449.90820802607
1538,190775.59857745748
1539,243353.24186507933
1540,125297.16699551723
1541,164063.42785495668
1542,149930.80321198297
1543,225154.74442483054
1544,80095.67806145176
1545,101554.14551705496
1546,122761.07781194162
1547,135412.4146875761
1548,138200.87941339676
1549,114436.03064482864
1550,140283.89001766132
1551,116970.452882965
1552,135526.61103967053
1553,147088.12856142395
1554,110641.35003441627
1555,170496.37577074565
1556,111871.38212662363
1557,136083.29041798846
1558,99747.4146294148
1559,122782.4122039172
1560,144618.78271093458
1561,165390.05400613838
1562,124454.60201135874
1563,122502.86033404563
1564,156687.80350710585
1565,153068.93877874527
1566,217722.24217699244
1567,84609.42510418752
1568,225425.9551128909
1569,148727.05456035645
1570,115866.95650664247
1571,129165.9541371992
1572,145100.27306101954
1573,247704.6075355054
1574,140251.79434641515
1575,204922.98152551774
1576,213477.66982750778
1577,206287.44032774508
1578,160898.51328082447
1579,142499.72954110143
1580,192820.67356624073
1581,138985.2805670633
1582,128669.62828233001
1583,344783.346732215
1584,239759.8709121512
1585,140578.40882504327
1586,70149.52760746563
1587,102574.74131942427
1588,149036.55687108776
1589,107603.6249331692
1590,131610.91896143084
1591,104678.41918709945
1592,119765.97030232837
1593,114581.62980312432
1594,135868.81448108904
1595,129050.33345790618
1596,233421.79679746565
1597,177601.68566626956
1598,185144.0763701626
1599,204145.918026288
1600,190925.07661846283
1601,62621.593724580285
1602,116604.24185179664
1603,94465.40553068608
1604,272376.2915318597
1605,252951.31101464562
1606,172523.1915290725
1607,188809.43255817235
1608,212413.93646535886
1609,201412.1925078556
1610,153652.50600902032
1611,150117.63723169058
1612,148972.95066805405
1613,164276.51731989282
1614,121838.48252954402
1615,83186.92894982212
1616,79922.7613055794
1617,84597.64752220953
1618,126348.75389326944
1619,131788.72305453007
1620,167035.3925574539
1621,141776.84122609193
1622,150990.7820404068
1623,300814.6983709273
1624,216932.9555765212
1625,133418.64295324023
1626,175298.50286165182
1627,189944.62093766403
1628,283323.7950400624
1629,173016.12037741626
1630,338018.43725130137
1631,227924.34137166326
1632,254308.30960409917
1633,164434.31753314487
1634,178790.2684531776
1635,175678.70770216917
1636,160397.3639434289
1637,163929.97138386554
1638,212466.1382715725
1639,183074.12697797292
1640,256894.85901804888
1641,185236.93311875232
1642,219050.57965795716
1643,222158.76988129658
1644,222026.14098636748
1645,165937.96084813916
1646,153464.03452837994
1647,164032.19105545533
1648,139323.9026665248
1649,137182.40317459844
1650,116308.68816042204
1651,119220.78432774004
1652,93612.76053661352
1653,93600.62652864117
1654,154899.16242850106
1655,155582.20548807172
1656,150822.0481436085
1657,154476.89613777422
1658,150988.09148254295
1659,141520.945574545
1660,145234.91453076267
1661,442013.4070505812
1662,399441.8313212957
1663,389185.9467295131
1664,440324.19061553973
1665,314871.9510195652
1666,336786.58279980253
1667,348420.87296422897
1668,332805.3114562921
1669,298235.5685315562
1670,341475.6892511581
1671,266274.62088630674
